This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"KNSI","SAN NICOLAS",-119.4528,33.2347,153,"COOP","4150"
"010063","ADDISON",-87.1814,34.2031,233,"COOP","7860"
"010160","ALEXANDER CI",-85.9481,32.9453,224,"COOP","7868"
"010184","ALICEVILLE L",-88.2878,33.2100,50,"COOP","7872"
"010260","ANDERSON",-87.2747,34.9092,209,"COOP","7874"
"010390","ATHENS",-86.9511,34.7772,207,"COOP","7880"
"010402","ATMORE",-87.4389,31.1819,91,"COOP","7883"
"010425","AUBURN NO 2",-85.4653,32.5992,166,"COOP","7886"
"010505","BANKHEAD LOC",-87.3572,33.4528,85,"COOP","7890"
"010583","BAY MINETTE",-87.7875,30.8842,83,"COOP","7893"
"010655","BELLE MINA 2",-86.8825,34.6908,183,"COOP","7896"
"010748","BERRY 3 NW",-87.6497,33.6944,154,"COOP","7897"
"010764","BESSEMER 3 W",-87.0078,33.3953,136,"COOP","7900"
"010823","BILLINGSLEY",-86.6653,32.6731,136,"COOP","7904"
"010957","BOAZ",-86.1633,34.2008,326,"COOP","7911"
"011080","BREWTON 3 EN",-87.0492,31.1414,49,"COOP","7913"
"011288","CALERA",-86.7461,33.1106,162,"COOP","7921"
"011490","CENTRE",-85.7017,34.1503,183,"COOP","7928"
"011620","CHILDERSBURG",-86.3436,33.2822,127,"COOP","7936"
"011694","CLANTON",-86.6522,32.8200,186,"COOP","7939"
"011810","COFFEEVILLE",-88.1283,31.7556,7,"COOP","7944"
"012096","CULLMAN NAHS",-86.7972,34.1925,192,"COOP","7952"
"012124","DADEVILLE 2",-85.7358,32.8622,223,"COOP","7954"
"012172","DAUPHIN ISLA",-88.0833,30.2500,2,"COOP","7959"
"012209","DECATUR 5 SE",-86.9539,34.5658,175,"COOP","7962"
"012813","FAIRHOPE 2 N",-87.8808,30.5467,7,"COOP","7983"
"012883","FAYETTE",-87.8219,33.6847,111,"COOP","7988"
"013154","GADSDEN",-85.9878,34.0219,172,"COOP","7998"
"013160","GAINESVILLE",-88.1342,32.8347,38,"COOP","7999"
"013251","GENEVA NO 2",-85.8708,31.0383,44,"COOP","8002"
"013511","GREENSBORO",-87.5808,32.7017,67,"COOP","8010"
"013519","GREENVILLE",-86.6147,31.7947,104,"COOP","8012"
"013575","GUNTERSVILLE",-86.3294,34.3347,181,"COOP","8016"
"013620","HALEYVILLE",-87.6347,34.2311,280,"COOP","8020"
"013645","HAMILTON 3 S",-87.9914,34.0967,133,"COOP","8022"
"013655","HANCEVILLE",-86.7625,34.0619,162,"COOP","8023"
"013775","HEFLIN",-85.6006,33.6483,259,"COOP","8028"
"013930","HOLT LOCK AN",-87.4500,33.2533,59,"COOP","8034"
"014193","JACKSON",-87.9278,31.5250,67,"COOP","8043"
"014209","JACKSONVILLE",-85.7664,33.8167,209,"COOP","8045"
"014226","JASPER",-87.3150,33.9053,148,"COOP","8047"
"014502","LAFAYETTE 2",-85.4336,32.9069,226,"COOP","8051"
"015121","MARION JUNCT",-87.2306,32.4714,61,"COOP","8073"
"015172","MATHEWS",-86.0003,32.2603,77,"COOP","8076"
"015397","MIDWAY",-85.4953,32.0597,152,"COOP","8081"
"015537","MONTEVALLO",-86.8667,33.0981,125,"COOP","8097"
"015553","MONTGOMERY 6",-86.2181,32.2600,69,"COOP","8102"
"015635","MOULTON 2",-87.2933,34.4856,197,"COOP","8105"
"016121","ONEONTA",-86.4692,33.9478,272,"COOP","8117"
"016129","OPELIKA",-85.4492,32.6592,195,"COOP","8118"
"016196","OWENS CROSS",-86.4453,34.5528,180,"COOP","8120"
"016847","REFORM",-88.0200,33.3753,73,"COOP","8151"
"017020","ROCKFORD 3 E",-86.1758,32.8711,228,"COOP","8156"
"017025","ROCK MILLS",-85.2892,33.1592,227,"COOP","8157"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP","8165"
"017366","SELMA",-87.0153,32.4100,24,"COOP","8170"
"017999","SYLACAUGA 4",-86.2114,33.2053,149,"COOP","8184"
"018024","TALLADEGA",-86.1350,33.4164,137,"COOP","8186"
"018038","TALLAPOOSA W",-86.2025,32.4392,54,"COOP","8188"
"018209","THORSBY EXP",-86.6708,32.9206,207,"COOP","8191"
"018323","TROY",-85.9722,31.8075,152,"COOP","8196"
"018385","TUSCALOOSA O",-87.5936,33.2097,46,"COOP","8200"
"018469","VALLEY HEAD",-85.6128,34.5667,324,"COOP","8208"
"018608","WADLEY NR 2",-85.5800,33.1272,213,"COOP","8213"
"018648","WALNUT GROVE",-86.3069,34.0661,259,"COOP","8215"
"018653","WALNUT HILL",-85.8936,32.7028,125,"COOP","8216"
"018673","WARRIOR LOCK",-87.8306,32.7744,21,"COOP","8219"
"018809","WEST BLOCTON",-87.1267,33.1178,152,"COOP","8223"
"018812","VINEMONT 2NN",-86.8988,34.2589,280,"COOP","8224"
"018859","WETUMPKA",-86.2103,32.5906,78,"COOP","8225"
"018998","WINFIELD 2 S",-87.8475,33.9111,143,"COOP","8232"
"020100","ALAMO DAM",-113.5778,34.2281,393,"COOP","8243"
"020159","ALPINE",-109.1469,33.8492,2454,"COOP","8245"
"020287","ANVIL RANCH",-111.3831,31.9792,838,"COOP","8249"
"020288","APACHE JUNCT",-111.4814,33.4625,631,"COOP","8250"
"020380","ARIVACA",-111.3350,31.5722,1103,"COOP","8257"
"020498","ASHURST HAYD",-111.2864,33.0869,472,"COOP","8269"
"020586","BAGDAD",-113.1739,34.5972,1205,"COOP","8274"
"020632","BARTLETT DAM",-111.6497,33.8097,503,"COOP","8277"
"020678","BELLEMONT NW",-111.8214,35.2300,2180,"COOP","8285"
"020683","BENSON 6 SE",-110.2403,31.8803,1125,"COOP","8287"
"020750","BETATAKIN",-110.5411,36.6778,2221,"COOP","8289"
"020808","BLACK RIVER",-109.7517,33.4783,1849,"COOP","8298"
"020871","BLUE RIDGE R",-111.1892,34.6103,2097,"COOP","8300"
"021001","BRIGHT ANGEL",-112.0631,36.2136,2560,"COOP","8308"
"021050","BULLHEAD CIT",-114.5678,35.1411,165,"COOP","8312"
"021248","CANYON DE CH",-109.5394,36.1533,1710,"COOP","8322"
"021282","CAREFREE",-111.9019,33.8161,771,"COOP","8324"
"021306","CASA GRANDE",-111.7147,32.8889,428,"COOP","8326"
"021314","CASA GRANDE",-111.5367,32.9947,433,"COOP","8327"
"021357","CATALINA SP",-110.9300,32.4175,814,"COOP","8331"
"022109","CORDES",-112.1678,34.3053,1149,"COOP","8361"
"022140","CORONADO N M",-110.2542,31.3456,1598,"COOP","8364"
"022754","DUNCAN",-109.1214,32.7481,1157,"COOP","8387"
"022782","EAST MESA",-111.6444,33.4192,463,"COOP","8390"
"023009","FLAGSTAFF 4",-111.7311,35.1611,2172,"COOP","8400"
"023190","FOUNTAIN HIL",-111.7131,33.6028,482,"COOP","8414"
"023393","GILA BEND",-112.7131,32.9481,224,"COOP","8422"
"023448","GISELA",-111.2758,34.1111,884,"COOP","8424"
"023501","GLOBE #3",-110.7933,33.3947,1116,"COOP","8428"
"023668","GREEN VALLEY",-110.9978,31.8931,884,"COOP","8442"
"024453","JEROME",-112.1114,34.7522,1509,"COOP","8481"
"024761","LAKE HAVASU",-114.3600,34.5028,143,"COOP","8501"
"024977","LITCHFIELD P",-112.3667,33.5000,314,"COOP","8508"
"025412","MC NARY 2 N",-109.8589,34.1142,2237,"COOP","8528"
